GF_ID,Year_approx,Year_exact,Month,Day,Lake_name,Glacier_name,GL_ID,LakeDB_ID,G_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Impact_type,Lake_type,Transboundary,Repeat,Region_RGI,Region_HiMAP,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Area,Volume,Discharge_water,Discharge_solid,Impact,Lives_total,Lives_male,Lives_female,Lives_disabilities,Injured_total,Injured_male,Injured_female,Injured_disabilities,Displaced_total,Displaced_male,Displaced_female,Displaced_disabilities,Livestock,Residential_destroyed,Commerical_destroyed,Residential_damaged,Commerical_damaged,Infra,Agricultural,Hydropower,Econ_damage,Sat_evidence,Ref_scientific,Ref_scientific_full,Ref_other,Remarks,year_best,year_precision,event_date,Lives_total_note,Lives_total_is_minimum,Livestock_note,Livestock_is_minimum,Residential_destroyed_note,Residential_destroyed_is_minimum,Commerical_destroyed_note,Commerical_destroyed_is_minimum,Residential_damaged_note,Commerical_damaged_note,Agricultural_note,Agricultural_is_minimum,Hydropower_note,Lake_name_is_placeholder,Glacier_name_is_placeholder,Driver_GLOF_terms,Driver_GLOF_n,Mechanism_terms,Mechanism_n
1,1533,1533,,,Unknown,Chong Kumden,Ephemeral,,G077657E35156N,35.172,77.702,4691,,,,,Ice dammed,Y,Y,14_2,9,India,Jammu and Kashmir,Shyok,Surging glacier,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hedin, 1917; Hewitt, 2014; Bazai et al., 2021)","Hedin, S., 1917. Southern Tibet. Stockholm; 34; Hewitt, K., 2014. Glaciers of the Karakoram Himalaya, Advances in Asian Human-Environmental Research. Springer Netherlands, Dordrecht; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,,1533.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
2,1560,1560,,,Unknown,Machhapuchhre,No lake,,G084009E28557N,28.52,83.992,3741,,,,,Supraglacial,Y,N,15_1,11,Nepal,Gandaki,Seti,Unknown,Unknown,Unknown,,,,,50-60m thick debris covering Pokhara basin,,,,,,,,,,,,,,,,,,,,,,,"(Ives, Shrestha and Mool, 2010; ICIMOD, 2011)","Ives, J.D., Shrestha, R.B., Mool, P.K., 2010. Formation of Glacial Lakes in the Hindu Kush-Himalayas and GLOF Risk Assessment. ICIMOD, Kathmandu, Nepal; ICIMOD, 2011. Glacial Lakes and Glacial Lake Outburst Floods in Nepal. ICIMOD",,,1560.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
3,1661,1661,,,Unknown,Biafo,GL075907E35687N,"2, 4",G075593E36006N,35.687,75.907,3059,,,,,Supraglacial,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Shigar,Glacier advance,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,Entire village destroyed,,,,,"(Godwin-Austen, 1864)","Godwin-Austen, H.H., 1864. On the Glaciers of the Mustakh Range. The Journal of the Royal Geographical Society of London 34, 19–56. https://doi.org/10.2307/1798464",,,1661.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
4,1780,1780,,,Unknown,Chong Kumden,Ephemeral,,G077657E35156N,35.172,77.702,4691,,,,,Ice dammed,Y,Y,14_2,9,India,Jammu and Kashmir,Shyok,Surging glacier,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Strachey, 1853; Bazai et al., 2021)","Strachey, W., 1853. Physical Geography of Western Tibet. William Clowes & Sons Ltd, London & Beccles, London; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,Strachey (1853) reported that the oldest flood occurred in ~1780 in the upper Shyok valley due to the bursting of Kumdan glacier lake. His conclusion was based on interview with eighty years old resident of the Shyok valley.,1780.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
5,1833,1833,,,Unknown,Yashkuk-Yaz,Ephemeral,,G074282E36698N,36.824,74.369,3370,,,,,Unknown,N,N,14_2,9,Pakistan,Gilgit - Baltistan,Hunza,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,Entire village destroyed,,,,,"(Hewitt and Liu, 2010)","Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528–551. https://doi.org/10.2747/0272-3646.31.6.528",,,1833.0,exact,,,False,,False,+,True,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
6,1833,1833,,,Unknown,Chong Kumden,Ephemeral,,G077657E35156N,35.172,77.702,4691,,,,,Ice dammed,Y,Y,14_2,9,India,Jammu and Kashmir,Shyok,Surging glacier,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt and Liu, 2010; Hewitt, 2014; Bazai et al., 2021)","Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528–551. https://doi.org/10.2747/0272-3646.31.6.528; Hewitt, K., 2014. Glaciers of the Karakoram Himalaya, Advances in Asian Human-Environmental Research. Springer Netherlands, Dordrecht; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,,1833.0,exact,,,False,,False,+,True,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
7,1835,1835,,,Unknown,Chong Kumden,Ephemeral,,G077657E35156N,35.172,77.702,4691,34.930229,76.615853,2628.0,Observation,Ice dammed,Y,Y,14_2,9,India,Jammu and Kashmir,Shyok,Surging glacier,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Strachey, 1853; Bazai et al., 2021)","Strachey, W., 1853. Physical Geography of Western Tibet. William Clowes & Sons Ltd, London & Beccles, London; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,"Two Kumdan glaciers generated obstacles in the upper Shyok valley during June of 1835. The height of ice dam made by an upper glacier (possibly Chong Kumdan) was 700 vertical feet, above the valley bottom and a large lake accumulated between Kumdan and Gyapahan. The sudden burst of lake resulted in a large discharge downstream. Maximum devastation occurred in Lagzhung village (mid Nubra) and Chorbat (Balti).",1835.0,exact,,,False,,False,+,True,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
8,1839,1839,,,Unknown,Chong Kumden,Ephemeral,,G077657E35156N,35.172,77.702,4691,,,,,Ice dammed,Y,Y,14_2,9,India,Jammu and Kashmir,Shyok,Surging glacier,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt and Liu, 2010; Hewitt, 2014; Bazai et al., 2021)","Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528–551. https://doi.org/10.2747/0272-3646.31.6.528; Hewitt, K., 2014. Glaciers of the Karakoram Himalaya, Advances in Asian Human-Environmental Research. Springer Netherlands, Dordrecht; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,,1839.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
9,1842,1842,,,Unknown,Chong Kumden,Ephemeral,,G077657E35156N,35.172,77.702,4691,,,,,Ice dammed,Y,Y,14_2,9,India,Jammu and Kashmir,Shyok,Surging glacier,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt and Liu, 2010; Hewitt, 2014; Bazai et al., 2021)","Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528–551. https://doi.org/10.2747/0272-3646.31.6.528; Hewitt, K., 2014. Glaciers of the Karakoram Himalaya, Advances in Asian Human-Environmental Research. Springer Netherlands, Dordrecht; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,,1842.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
10,1844,1844,,,Karambar,Karambar,GL074079E36622N,"2, 4",G074224E36616N,36.6214,74.07906,2935,,,,,Ice dammed,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Gilgit,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt, 1982; Iturrizaga, 2005a)","Hewitt, K., 1982. Natural dams and outburst floods of the Karakoram Himalaya. IAHS-AISH Publication Hydrological Aspects of Alpine and High Mountain Area (as (Proceedings of the Exeter Symposium, Juiy 1982)); Iturrizaga, L., 2005a. Historical glacier-dammed lakes and outburst floods in the Karambar valley (Hindukush-Karakoram). GeoJournal 63, 1–47. https://doi.org/10.1007/s10708-005-2395-x",,,1844.0,exact,,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Unknown'],1
